year,pid,urban,hhnature,total_asset,age,gender,educ,marriage,health,precarious_job,industry,workhour,wage_month,job_status,wage_year,social_status,job_satisfaction,provname,upbringing,inc_exp_p
2014,420368101.0,1.0,0.0,,47.0,0.0,15.0,1.0,2.0,1.0,14.0,40.0,2100.0,1.0,36000.0,4.0,4.0,湖北,0.0,0.12110448
2014,140488101.0,1.0,0.0,39.90999984741211,63.0,0.0,12.0,1.0,2.0,0.0,,,,0.0,,3.0,,山西,1.0,0.15495868
2014,510910101.0,1.0,1.0,53.73991012573242,34.0,1.0,9.0,1.0,4.0,0.0,8.0,14.0,,1.0,0.0,4.0,3.0,四川,1.1666666,0.59381706
2014,520469101.0,1.0,1.0,63.70000076293945,41.0,1.0,15.0,1.0,4.0,0.0,19.0,30.0,2500.0,1.0,13000.0,3.0,5.0,贵州,0.5,0.6824877
2014,441326101.0,1.0,1.0,49.310001373291016,30.0,1.0,16.0,1.0,3.0,0.0,8.0,48.0,4200.0,1.0,40000.0,3.0,3.0,广东,0.33333334,0.28304112
2014,621691103.0,1.0,0.0,215.9600067138672,40.0,1.0,12.0,1.0,4.0,0.0,4.0,50.0,1500.0,1.0,19500.0,3.0,4.0,甘肃,0.6666667,1.5799999
2014,411654101.0,1.0,0.0,141.8592987060547,47.0,0.0,9.0,1.0,3.0,0.0,8.0,,,1.0,,4.0,4.0,河南,0.25,0.20824008
2014,410718102.0,1.0,1.0,78.7699966430664,40.0,0.0,0.0,1.0,3.0,1.0,18.0,42.0,1200.0,1.0,10000.0,3.0,4.0,河南,0.33333334,0.8130081
2014,230036101.0,0.0,0.0,8.114999771118164,47.0,0.0,15.0,1.0,4.0,1.0,19.0,32.5,2500.0,1.0,30000.0,4.0,4.0,黑龙江,0.0,1.1389521
2014,211376101.0,0.0,1.0,9.078749656677246,57.0,0.0,9.0,1.0,1.0,0.0,,35.0,,1.0,0.0,4.0,4.0,辽宁,0.5,1.8313253
2014,220019101.0,0.0,1.0,6.790982723236084,52.0,1.0,0.0,1.0,5.0,1.0,5.0,77.0,700.0,1.0,22400.0,1.0,3.0,吉林,0.0,0.6536284
2014,211379101.0,0.0,1.0,41.32930374145508,56.0,0.0,9.0,1.0,3.0,0.0,,84.0,,1.0,0.0,1.0,4.0,辽宁,0.25,1.2880324
2014,311817431.0,0.0,1.0,0.5799999833106995,21.0,1.0,9.0,0.0,5.0,0.0,7.0,40.0,2000.0,1.0,0.0,1.0,3.0,上海,0.0,4.9999995
2014,311929101.0,0.0,1.0,45.13833236694336,41.0,1.0,6.0,1.0,4.0,0.0,3.0,56.0,4000.0,1.0,48000.0,3.0,3.0,上海,0.0,0.8808795
2014,410205101.0,0.0,1.0,47.93665313720703,55.0,1.0,12.0,1.0,4.0,0.0,,20.0,,1.0,0.0,3.0,3.0,河南,0.6666667,2.5483093
