pid,year,gender,age,educ,marriage,child_num,job,job_precarity,job_security_dummy,bianzhi,wage,industry,provname
420323101,2014,0.0,33,15.0,1.0,1,1,2.0,1.0,,50000.0,租赁和商务服务业,湖北
420274102,2014,0.0,35,6.0,1.0,1,1,,,,50000.0,,湖北
818647431,2014,0.0,28,9.0,1.0,1,1,2.0,1.0,,,制造业,湖北
320289102,2014,0.0,48,15.0,1.0,0,1,2.0,,,,制造业,江苏
320286101,2014,1.0,27,16.0,1.0,0,1,2.0,1.0,,65000.0,金融业,江苏
320313101,2014,0.0,28,15.0,1.0,1,1,2.0,,,,制造业,江苏
320383102,2014,1.0,52,9.0,1.0,1,0,2.0,1.0,,40000.0,制造业,江苏
320335102,2014,0.0,70,6.0,1.0,0,1,,,,,制造业,江苏
320326103,2014,0.0,29,9.0,0.0,1,1,,,,,批发和零售业,江苏
320358103,2014,0.0,39,9.0,1.0,2,1,,,,,批发和零售业,江苏
320311102,2014,0.0,50,9.0,1.0,0,1,2.0,,,,制造业,江苏
320372102,2014,0.0,68,6.0,1.0,0,1,,0.0,,30000.0,建筑业,江苏
320281104,2014,0.0,28,19.0,0.0,0,1,2.0,1.0,,70710.0,信息传播、计算机服务和软件业,江苏
320361104,2014,1.0,43,9.0,1.0,0,1,,0.0,,25000.0,制造业,江苏
320372101,2014,0.0,41,12.0,1.0,0,1,,0.0,,45000.0,建筑业,江苏
320361101,2014,0.0,66,6.0,1.0,0,1,,,,,批发和零售业,江苏
320330104,2014,1.0,27,12.0,1.0,1,1,,1.0,,40000.0,批发和零售业,江苏
633508431,2014,0.0,29,16.0,1.0,1,1,2.0,1.0,,,制造业,江苏
320224104,2014,1.0,26,15.0,1.0,1,1,,0.0,,36000.0,制造业,江苏
320162102,2014,1.0,66,6.0,0.0,1,1,,,,,批发和零售业,江苏
320173101,2014,1.0,41,12.0,1.0,0,1,2.0,1.0,,12000.0,批发和零售业,江苏
320136103,2014,0.0,27,6.0,1.0,1,0,,,,,建筑业,江苏
320159101,2014,1.0,38,9.0,1.0,1,1,,0.0,,8000.0,批发和零售业,江苏
320166104,2014,1.0,26,12.0,1.0,1,1,,,,,批发和零售业,江苏
320235103,2014,0.0,27,0.0,1.0,0,1,,0.0,,15000.0,制造业,江苏
320161101,2014,1.0,51,9.0,1.0,0,1,,0.0,,6800.0,教育,江苏
320190103,2014,1.0,47,12.0,1.0,0,0,,,,,批发和零售业,江苏
320223105,2014,1.0,23,6.0,1.0,1,1,,0.0,,9200.0,住宿和餐饮业,江苏
320183101,2014,1.0,38,9.0,1.0,2,1,,0.0,,20000.0,批发和零售业,江苏
320141107,2014,1.0,27,12.0,1.0,2,0,,0.0,,,批发和零售业,江苏
320109102,2014,1.0,50,9.0,1.0,0,1,,0.0,,3000.0,制造业,江苏
320070105,2014,1.0,48,9.0,1.0,0,1,,0.0,,18200.0,制造业,江苏
320038104,2014,0.0,46,6.0,1.0,0,0,,0.0,,23000.0,建筑业,江苏
320129102,2014,0.0,46,9.0,1.0,1,1,,,,40000.0,,江苏
320071101,2014,0.0,49,9.0,1.0,0,1,,,,,,江苏
320124101,2014,0.0,66,0.0,1.0,1,1,,,,15000.0,,江苏
320123103,2014,1.0,20,12.0,0.0,0,1,,0.0,,11800.0,教育,江苏
320098101,2014,1.0,47,6.0,1.0,0,1,,,,20000.0,,江苏
320111104,2014,1.0,25,9.0,1.0,1,0,2.0,1.0,,7200.0,批发和零售业,江苏
579504431,2014,0.0,33,9.0,1.0,2,1,,0.0,,27000.0,居民服务和其他服务业,江西
360275105,2014,0.0,31,15.0,1.0,2,1,2.0,1.0,,30000.0,批发和零售业,江西
360239101,2014,0.0,48,9.0,1.0,2,0,,0.0,,19100.0,制造业,江西
360303102,2014,0.0,43,9.0,1.0,1,1,,0.0,,4000.0,制造业,江西
360304101,2014,0.0,36,9.0,1.0,1,1,2.0,,,,公共管理和社会组织,江西
360253102,2014,0.0,58,0.0,1.0,0,1,,0.0,,,交通运输、仓储和邮政业,江西
360302101,2014,1.0,44,6.0,1.0,1,1,,0.0,,4000.0,制造业,江西
360252101,2014,0.0,55,12.0,1.0,4,1,,0.0,,30000.0,制造业,江西
360325101,2014,0.0,50,6.0,1.0,0,1,,0.0,,17000.0,建筑业,江西
360340103,2014,0.0,50,12.0,0.0,2,1,,0.0,,36000.0,建筑业,江西
360295101,2014,1.0,41,0.0,1.0,1,1,,0.0,,10000.0,制造业,江西
360299103,2014,0.0,26,16.0,0.0,0,1,2.0,1.0,,45000.0,文化、体育和娱乐业,江西
360235104,2014,1.0,25,9.0,1.0,0,0,,0.0,,8000.0,制造业,江西
360067101,2014,0.0,39,6.0,1.0,2,1,,0.0,,12000.0,建筑业,江西
360043101,2014,1.0,35,6.0,1.0,1,0,2.0,,,,制造业,江西
360064103,2014,1.0,34,6.0,1.0,2,1,,,,8000.0,,江西
360048101,2014,1.0,40,0.0,1.0,1,1,,0.0,,20000.0,建筑业,江西
360012101,2014,0.0,39,12.0,1.0,1,1,2.0,1.0,,48000.0,交通运输、仓储和邮政业,江西
360053101,2014,1.0,47,0.0,1.0,2,0,,,,20000.0,,江西
360051102,2014,0.0,45,0.0,1.0,0,1,,,,40000.0,,江西
360074101,2014,0.0,36,0.0,1.0,2,1,2.0,0.0,,30000.0,建筑业,江西
360034104,2014,1.0,39,0.0,1.0,2,1,,,,20000.0,,江西
360054101,2014,1.0,44,0.0,1.0,1,1,,,,40000.0,,江西
360042102,2014,1.0,46,0.0,1.0,0,1,,0.0,,20000.0,建筑业,江西
360047101,2014,1.0,42,0.0,1.0,1,1,,,,18000.0,,江西
360148104,2014,1.0,28,9.0,1.0,2,0,2.0,,,,制造业,江西
360142101,2014,0.0,46,9.0,1.0,0,1,,,,,批发和零售业,江西
360172103,2014,1.0,50,6.0,1.0,2,1,2.0,0.0,,16000.0,制造业,江西
360161101,2014,1.0,39,0.0,1.0,2,0,,,,,制造业,江西
360138102,2014,0.0,39,0.0,1.0,2,1,,0.0,,15000.0,公共管理和社会组织,江西
360155102,2014,0.0,39,9.0,1.0,1,1,,0.0,,30000.0,建筑业,江西
